heuristic,size,density,path_length,nodes_expanded,time_sec
Manhattan,20x15,0.2,24,23,0.00048422813415527344
Manhattan,20x15,0.2,25,24,0.00036525726318359375
Manhattan,20x15,0.2,26,27,0.0005614757537841797
Manhattan,20x15,0.2,25,25,0.0007314682006835938
Manhattan,20x15,0.2,28,30,0.0004405975341796875
Manhattan,20x15,0.2,24,24,0.0004227161407470703
Manhattan,20x15,0.2,23,22,0.0003924369812011719
Manhattan,20x15,0.2,24,24,0.0008134841918945312
Manhattan,20x15,0.2,25,48,0.0007736682891845703
Manhattan,20x15,0.2,22,21,0.0008313655853271484
Manhattan,20x15,0.2,28,28,0.000682830810546875
Manhattan,20x15,0.2,26,26,0.0004405975341796875
Manhattan,20x15,0.2,26,26,0.0007011890411376953
Manhattan,20x15,0.2,25,28,0.0004436969757080078
Manhattan,20x15,0.2,25,28,0.0006759166717529297
Manhattan,20x15,0.2,27,30,0.0005595684051513672
Manhattan,20x15,0.2,24,23,0.0008485317230224609
Manhattan,20x15,0.2,26,26,0.0004715919494628906
Manhattan,20x15,0.2,31,35,0.00043582916259765625
Manhattan,20x15,0.2,24,23,0.0004036426544189453
Manhattan,20x15,0.2,23,22,0.0007915496826171875
Manhattan,20x15,0.2,24,24,0.0007374286651611328
Manhattan,20x15,0.2,24,23,0.0006844997406005859
Euclidean,20x15,0.2,27,29,0.0004718303680419922
Euclidean,20x15,0.2,21,21,0.0004405975341796875
Euclidean,20x15,0.2,22,21,0.0006170272827148438
Euclidean,20x15,0.2,23,28,0.0004916191101074219
Euclidean,20x15,0.2,26,27,0.0004086494445800781
Euclidean,20x15,0.2,23,24,0.000522613525390625
Euclidean,20x15,0.2,22,21,0.0009415149688720703
Euclidean,20x15,0.2,27,28,0.000782012939453125
Euclidean,20x15,0.2,30,32,0.000392913818359375
Euclidean,20x15,0.2,28,32,0.0004296302795410156
Euclidean,20x15,0.2,26,36,0.0005710124969482422
Euclidean,20x15,0.2,25,27,0.000476837158203125
Euclidean,20x15,0.2,24,24,0.0004467964172363281
Euclidean,20x15,0.2,24,25,0.0005033016204833984
Euclidean,20x15,0.2,28,35,0.0005805492401123047
Euclidean,20x15,0.2,32,44,0.0006859302520751953
Euclidean,20x15,0.2,24,23,0.0012450218200683594
Euclidean,20x15,0.2,32,38,0.0009732246398925781
Euclidean,20x15,0.2,29,32,0.0006968975067138672
Euclidean,20x15,0.2,23,22,0.0007119178771972656
Euclidean,20x15,0.2,27,27,0.0008025169372558594
